Id,Name,Latitude,Longitude,Altitude,Ownership,Type,admin3Name,admin3Pcod,admin2Name,admin2Pcod,admin1Name,admin1Pcod,City,Kebele,Status
1025971,Sera Wakele Health Post,8.206602500000002,38.794189099999997,1699.700000000000045,Public/Government,Health Post,Dugda,ET040707,East Shewa,ET0407,Oromia,ET04,Sera Wakele,Sera Wakele 01,Approved
1075964,Seraba Dabilo  Health Post,12.313498299999999,37.322537799999999,1825.500000000000000,Public/Government,Health Post,East Dembia,ET031111,Central Gondar,ET0311,Amhara,ET03,Seraba  Dabilo,Seraba  Dabilo,Approved
1073559,Seraba Health Post,12.518423000000000,37.026628600000002,2136.800000000000182,Public/Government,Health Post,Chilga 1,ET031106,Central Gondar,ET0311,Amhara,ET03,Seraba,Seraba,Approved
1028926,Serabizu Pharmacy,8.880144200000000,38.790843700000003,2097.000000000000000,Private for profit,Pharmacy,Akaki Kality,ET140101,Region 14,ET1401,Addis Ababa,ET14,Addis Ababa,"1",Approved
1075474,Seragudela Health Post,12.608572000000001,37.471148399999997,2218.199951000000056,Public/Government,Health Post,Gondar town,ET031118,Central Gondar,ET0311,Amhara,ET03,Adirkay,Seragudela,Approved
1071754,Serako Health Post,12.305372100000000,37.081834899999997,1868.099999999999909,Public/Government,Health Post,Takusa,ET031121,Central Gondar,ET0311,Amhara,ET03,,serako,Approved
1025969,Serako Mariam Health Post,13.563090000000001,38.227488000000001,,Public/Government,Health Post,Tselemti,ET010106,North Western,ET0101,Tigray,ET01,,Serako,Approved
1075649,Seramrie Health Post,12.337098400000000,38.866481200000003,2219.000000000000000,Public/Government,Health Post,Dehana,ET030803,Wag Hamra,ET0308,Amhara,ET03,,Seramrie,Approved
1061917,Seran Rural Drug Vendor,8.657862200000000,41.847299800000002,1107.300048999999944,Private for profit,Other,Meyu Muleke,ET041018,East Hararge,ET0410,Oromia,ET04,Meyu,kuse,Approved
1030135,Serapta Pharmacy,9.028316400000000,38.833038299999998,2417.527000000000044,Private for profit,Pharmacy,Yeka,ET140107,Region 14,ET1401,Addis Ababa,ET14,Addis Ababa,,Approved
1081039,Seraye Drug Store,10.921612500000000,37.890402700000003,2557.000000000000000,Private for profit,Pharmacy,Hulet Ej Enese,ET030602,East Gojam,ET0306,Amhara,ET03,sedie,"02",Approved
1060525,Serayitu Health Post,11.534983300000000,40.839474699999997,470.000000000000000,Public/Government,Health Post,Mile,ET020105,Awsi /Zone 1,ET0201,Afar,ET02,Mille,Serayitu,Approved
